Hint,y0,Sparsity,Size,Topography,Classification
2.2043,1.1384,0.0,1.0,0.0,NS
3.194,1.0288,0.0,0.8332,0.0022061999999999997,S
2.6716,1.0483,0.0,0.8220000000000001,0.3223,S
2.7197,1.1324,0.0,1.0,0.0,NS
3.4296,0.9270299999999999,0.0,0.7396,0.67492,S
3.1061,0.69184,0.0,0.4868,0.74398,S
3.4789,0.93314,0.0,0.698,0.55204,S
4.3107,0.85215,0.0,0.6948,0.62715,S
4.2089,0.6502100000000001,0.0,0.4984,0.48758,S
4.6524,0.7759,0.0,0.6779999999999999,0.78945,S
3.5531,0.95162,0.0,0.7140000000000001,0.48671000000000003,S
4.3079,0.526,0.0,0.3652,0.2729,S
3.9039,1.0831,0.0,1.0,0.0,NS
2.9939999999999998,0.45203999999999994,1.0,0.0,0.0,D
4.4617,0.69435,0.0,0.544,0.89871,S
4.51,1.1198,0.0,1.0,0.0,NS
4.4515,0.59449,0.0,0.4296,0.46263999999999994,S
2.9081,1.0382,0.0,0.8736,0.0,S
3.0629,0.8717299999999999,0.0,0.6964,0.5953,S
2.3646,0.9723700000000001,0.0,0.7304,0.59137,S
4.3203,0.57898,0.0,0.4188,0.33353,S
2.4187,0.72028,0.0,0.4548,0.82053,S
2.9613,0.95515,0.0,0.7044,0.6775100000000001,S
4.9816,0.8733200000000001,0.0,0.7104,0.44028999999999996,S
4.8546,0.7602300000000001,0.0,0.6244,0.48835,S
3.0445,0.82649,0.0,0.6568,0.71329,S
4.1658,0.61512,0.0,0.4504,0.69688,S
3.177,0.80978,0.0,0.6096,0.67472,S
2.9875,0.98667,0.0,0.768,0.41448,S
2.8286,1.1661,0.0,1.0,0.0,NS
4.7677,0.75574,0.0,0.5852,0.65813,S
4.5532,0.89645,0.0,0.708,0.64815,S
3.9372,0.8719,0.0,0.6732,0.5191399999999999,S
4.3467,1.0436,0.0,1.0,0.0,NS
3.1995,1.0714,0.0,1.0,0.0,NS
3.3637,1.1976,0.0,1.0,0.0,NS
