theta_u,Max_L,Sparsity,Size,Topography,Classification
0.35528000000000004,0.79115,0.0,1.0,0.0,NS
0.39115,0.72702,0.0,0.5176,0.46436000000000005,S
0.40102,0.33921,0.0,0.2588,0.9709399999999999,S
0.47207,0.76536,0.0,0.4004,0.38216,S
0.38592,0.64942,0.0,0.4584,0.8302200000000001,S
0.47152,0.2249,0.0,0.15755,0.9894299999999999,S
0.4499,0.79187,0.0,0.45799999999999996,0.28844000000000003,S
0.52355,0.56913,0.0,0.2452,0.93189,S
0.5237,0.5131399999999999,0.0,0.2268,0.93132,S
0.4627,0.30719,0.0,0.2012,0.98206,S
0.47392,0.5977100000000001,0.0,0.3076,0.93986,S
0.38163,0.32292,0.0,0.2632,0.97103,S
0.61593,0.91633,0.0,0.2316,0.97544,S
0.33792,0.8380700000000001,0.0,1.0,0.0,NS
0.58475,0.26273,0.0,0.12,0.98165,S
0.40273000000000003,0.2959,0.0,0.2344,0.95185,S
0.40687,0.62066,0.0,0.4048,0.72806,S
