theta_u,Max_L,Sparsity,Size,Topography,Classification
0.48761000000000004,0.36658,0.0,0.2752,0.8981299999999999,S
0.31,0.6796800000000001,0.0,1.0,0.0,NS
0.34725,0.85993,0.0,1.0,0.0,NS
0.37821,0.5696,0.0,0.52,0.9318,S
0.36949,0.82596,0.0,1.0,0.0,NS
0.6010800000000001,0.22175999999999998,0.0,0.1428,0.9831200000000001,S
0.60452,0.79627,0.0,0.3684,0.5402399999999999,S
0.51363,0.71362,0.0,0.4392,0.96029,S
0.30246999999999996,0.41546000000000005,0.0,0.4992,0.61679,S
0.44515,0.34336,0.0,0.2888,0.95242,S
0.44565,0.85206,0.0,1.0,0.0,NS
0.53359,0.73723,0.0,0.4276,0.91165,S
0.60102,0.8569700000000001,0.0,0.4192,0.5758300000000001,S
0.30601,0.27971999999999997,0.0,0.3604,0.7718,S
0.67773,0.67569,0.0,0.2448,0.49276000000000003,S
0.41755,0.57903,0.0,0.4712,0.70014,S
0.55819,0.31506,0.0,0.2064,0.9746799999999999,S
0.59548,0.35594000000000003,0.0,0.2,0.98695,S
0.38543,0.9648200000000001,0.0,1.0,0.0,NS
0.38439,0.8744700000000001,0.0,1.0,0.0,NS
0.3857,0.4929,0.0,0.4428,0.9570299999999999,S
0.60747,0.3388,0.0,0.1876,0.9852299999999999,S
0.57592,0.9923299999999999,0.0,1.0,0.0,NS
0.46473000000000003,0.36859000000000003,0.0,0.2932,0.8664700000000001,S
0.7184699999999999,0.53047,0.0,0.1652,0.9180799999999999,S
0.49035,0.5141,0.0,0.3456,0.9500200000000001,S
0.48833000000000004,0.99887,0.0,1.0,0.0,NS
0.59512,0.9804,0.0,0.9740000000000001,0.19722,NS
0.61128,0.9419799999999999,0.0,0.5132,0.42868,S
0.40998999999999997,0.27321999999999996,0.0,0.2684,0.9798600000000001,S
0.37711999999999996,0.21758000000000002,0.0,0.2576,0.98216,S
0.70099,0.83635,0.0,0.2632,0.9745799999999999,S
0.4844,0.28964,0.0,0.2356,0.97583,S
0.60385,0.33005999999999996,0.0,0.1836,0.98456,S
0.42435,0.41575,0.0,0.3504,0.9571200000000001,S
0.49673999999999996,0.76226,0.0,0.5108,0.79213,S
0.35670999999999997,0.49743999999999994,0.0,0.4848,0.78072,S
0.54969,0.8493200000000001,0.0,0.5116,0.5272899999999999,S
0.45855,0.79715,0.0,1.0,0.0,NS
0.63254,0.95773,0.0,0.4732,0.95424,S
0.62241,0.33863000000000004,0.0,0.1772,0.9605799999999999,S
0.30806,0.80782,0.0,1.0,0.0,NS
0.59995,0.56184,0.0,0.2764,0.9716100000000001,S
0.35183000000000003,0.71292,0.0,1.0,0.0,NS
0.39389,0.90054,0.0,1.0,0.0,NS
0.44703999999999994,0.49236,0.0,0.38,0.84729,S
0.3273,0.64225,0.0,1.0,0.0,NS
0.41178000000000003,0.8175100000000001,0.0,1.0,0.0,NS
0.3552,0.9314399999999999,0.0,1.0,0.0,NS
0.4548,0.29477,0.0,0.2564,0.9759200000000001,S
0.30878,0.72525,0.0,1.0,0.0,NS
0.66405,0.93284,0.0,0.37200000000000005,0.39319,S
0.38413,0.66965,0.0,0.9936,0.0,NS
0.58509,0.76444,0.0,0.3764,0.83875,S
0.39716,0.26493,0.0,0.2716,0.98235,S
0.65492,0.98841,0.0,0.4608,0.8995700000000001,S
0.71267,0.6149,0.0,0.1916,0.46245,S
0.7359399999999999,0.75085,0.0,0.204,0.87866,S
0.3555,0.8841100000000001,0.0,1.0,0.0,NS
0.57593,0.77687,0.0,0.3952,0.53698,S
0.30572,0.42663999999999996,0.0,0.5004,0.9529,S
0.63649,0.80075,0.0,0.326,0.92806,S
0.72213,0.74792,0.0,0.2172,0.93429,S
0.67624,0.62352,0.0,0.2296,0.98408,S
0.37106999999999996,0.9132,0.0,1.0,0.0,NS
0.62363,0.68014,0.0,0.2964,0.8457600000000001,S
0.7105,0.6987,0.0,0.2172,0.89439,S
0.65635,0.42303,0.0,0.1836,0.9724700000000001,S
0.54035,0.55152,0.0,0.3232,0.95405,S
0.6937800000000001,0.59845,0.0,0.2036,0.8683,S
0.32836,0.37967,0.0,0.4224,0.9250799999999999,S
0.54433,0.43625,0.0,0.2668,0.53161,S
0.67716,0.70552,0.0,0.2504,0.52537,S
0.40004,0.45587,0.0,0.40399999999999997,0.54715,S
0.38134,0.22438000000000002,0.0,0.2544,0.92671,S
0.64708,0.4667,0.0,0.2012,0.89487,S
0.54464,0.42801999999999996,0.0,0.264,0.9721799999999999,S
0.45258000000000004,0.5765899999999999,0.0,0.4224,0.8848,S
0.37906999999999996,0.37479,0.0,0.3628,0.9657600000000001,S
0.41076999999999997,0.63663,0.0,0.5304,0.6250399999999999,S
