Hint,theta_u,Sparsity,Size,Topography,Classification
2.2583,0.43766000000000005,1.0,0.0,0.0,D
4.2468,0.3041,0.0,1.0,0.0,NS
2.24,0.3114,0.02,1.0,0.022757,NS
3.971,0.31283,0.0,1.0,0.0,NS
3.7487,0.30446,0.0,1.0,0.0,NS
3.3248,0.36077,0.0,1.0,0.0,NS
3.7351,0.37554,0.0,0.8572,0.7240300000000001,S
3.5377,0.39912,1.0,0.0,0.0,D
2.3578,0.31794,0.0,1.0,0.0,NS
3.4365,0.30134,0.0,1.0,0.0,NS
2.7405,0.36386999999999997,1.0,0.0,0.0,D
3.2880000000000003,0.39025,1.0,0.0,0.0,D
2.2128,0.30867,0.0,1.0,0.0,NS
3.2778,0.37834,0.36,0.51062,0.65108,S
4.0386,0.34462,0.0,1.0,0.0,NS
2.2927,0.38998,1.0,0.0,0.0,D
3.4535,0.40143,1.0,0.0,0.0,D
3.286,0.40092,1.0,0.0,0.0,D
2.4066,0.40119,1.0,0.0,0.0,D
2.7263,0.40805,1.0,0.0,0.0,D
2.7161,0.41739,1.0,0.0,0.0,D
2.0908,0.36582,1.0,0.0,0.0,D
2.7448,0.35147,0.2,0.6920000000000001,0.61643,S
2.9654,0.40741,1.0,0.0,0.0,D
3.1454,0.374,0.98,0.5,0.98082,S
3.9492,0.32254,0.0,1.0,0.0,NS
2.2761,0.39545,1.0,0.0,0.0,D
4.0236,0.43804,1.0,0.0,0.0,D
3.6666,0.40347,1.0,0.0,0.0,D
3.9132,0.34845,0.0,1.0,0.0,NS
4.9599,0.41453,0.38,0.5019399999999999,0.83678,S
4.3368,0.44398000000000004,1.0,0.0,0.0,D
2.0189,0.44297,1.0,0.0,0.0,D
3.5538,0.42589,1.0,0.0,0.0,D
3.5879,0.34042,0.0,1.0,0.0,NS
3.9105,0.40709,1.0,0.0,0.0,D
3.0531,0.44543999999999995,1.0,0.0,0.0,D
4.239,0.31056,0.0,1.0,0.0,NS
4.3713,0.3321,0.0,1.0,0.0,NS
4.0669,0.3735,0.0,1.0,0.0,NS
2.4047,0.30054000000000003,0.0,1.0,0.0,NS
3.2692,0.33384,0.0,1.0,0.0,NS
4.503,0.37283,0.0,1.0,0.0,NS
2.8732,0.39738,1.0,0.0,0.0,D
3.7176,0.34347,0.0,1.0,0.0,NS
2.4718,0.39056,1.0,0.0,0.0,D
3.4121,0.41265,1.0,0.0,0.0,D
2.2533,0.41518999999999995,1.0,0.0,0.0,D
2.1417,0.36425,1.0,0.0,0.0,D
4.4319999999999995,0.36111,0.0,1.0,0.0,NS
2.9437,0.36025999999999997,0.06,0.69021,0.7456,S
3.7942,0.39333,0.6,0.518,0.8865700000000001,S
2.5396,0.36291999999999996,1.0,0.0,0.0,D
2.7333,0.33901,0.0,1.0,0.0,NS
4.8225,0.31783,0.0,1.0,0.0,NS
4.9476,0.40526999999999996,0.12,0.56682,0.92871,S
3.4685,0.41171,1.0,0.0,0.0,D
4.9792,0.35829,0.0,1.0,0.0,NS
2.9954,0.31614000000000003,0.0,1.0,0.0,NS
3.9221,0.41418999999999995,1.0,0.0,0.0,D
2.7658,0.42166000000000003,1.0,0.0,0.0,D
4.5993,0.30491999999999997,0.0,1.0,0.0,NS
3.2774,0.3874,1.0,0.0,0.0,D
4.4704,0.35272,0.0,1.0,0.0,NS
4.2844,0.38754,0.0,0.7936,0.494,S
4.3884,0.34259,0.0,1.0,0.0,NS
2.0132,0.40242,1.0,0.0,0.0,D
2.4631,0.40088,1.0,0.0,0.0,D
2.7204,0.39893,1.0,0.0,0.0,D
2.7962,0.30101,0.0,1.0,0.0,NS
4.5351,0.37886,0.0,1.0,0.0,NS
2.5811,0.31806,0.0,1.0,0.0,NS
3.2384,0.39088,1.0,0.0,0.0,D
2.0038,0.40865999999999997,1.0,0.0,0.0,D
2.6736,0.42705,1.0,0.0,0.0,D
4.3308,0.35841999999999996,0.0,1.0,0.0,NS
2.0435,0.40137,1.0,0.0,0.0,D
4.7971,0.34418000000000004,0.0,1.0,0.0,NS
2.6175,0.40364,1.0,0.0,0.0,D
2.3280000000000003,0.30230999999999997,0.0,1.0,0.0,NS
2.1887,0.4008,1.0,0.0,0.0,D
4.2385,0.43543000000000004,1.0,0.0,0.0,D
4.5529,0.40135,0.04,0.57625,0.5150899999999999,S
3.1383,0.34256,0.0,1.0,0.0,NS
3.4746,0.4367,1.0,0.0,0.0,D
2.0154,0.34615999999999997,1.0,0.0,0.0,D
2.4053,0.3659,1.0,0.0,0.0,D
3.5998,0.3377,0.0,1.0,0.0,NS
3.7546,0.40283,1.0,0.0,0.0,D
2.0148,0.39376,1.0,0.0,0.0,D
2.1816,0.37959,1.0,0.0,0.0,D
2.6374,0.39768000000000003,1.0,0.0,0.0,D
2.8972,0.30983,0.0,1.0,0.0,NS
2.1746,0.35162,1.0,0.0,0.0,D
2.469,0.33266999999999997,0.02,0.9934700000000001,0.0,NS
3.1732,0.35586,0.0,1.0,0.0,NS
3.3946,0.34356,0.0,1.0,0.0,NS
2.2362,0.43478,1.0,0.0,0.0,D
3.1055,0.36658,0.28,0.57667,0.75739,S
2.9068,0.43106000000000005,1.0,0.0,0.0,D
4.8761,0.31958000000000003,0.0,1.0,0.0,NS
3.9904,0.30324,0.0,1.0,0.0,NS
3.6436,0.4253,1.0,0.0,0.0,D
2.7276,0.43846,1.0,0.0,0.0,D
3.0875,0.34745,0.0,1.0,0.0,NS
2.2925,0.44104,1.0,0.0,0.0,D
3.6703,0.35505,0.0,1.0,0.0,NS
2.2996,0.37737,1.0,0.0,0.0,D
3.7502,0.34870999999999996,0.0,1.0,0.0,NS
3.6501,0.43026000000000003,1.0,0.0,0.0,D
2.7607,0.41888000000000003,1.0,0.0,0.0,D
2.6344,0.34285,0.76,0.635,0.90248,S
2.9476,0.34811,0.02,1.0,0.0,NS
4.3729,0.429,1.0,0.0,0.0,D
2.8021,0.42523999999999995,1.0,0.0,0.0,D
3.9344,0.39883,0.5,0.4776,0.8315600000000001,S
3.1091,0.42531,1.0,0.0,0.0,D
2.2554,0.44945,1.0,0.0,0.0,D
4.7330000000000005,0.41745,0.22,0.4759,0.6822199999999999,S
3.5981,0.36707,0.0,1.0,0.0,NS
3.4892,0.31356,0.0,1.0,0.0,NS
2.8114,0.34153,0.0,1.0,0.0,NS
2.3239,0.39286,1.0,0.0,0.0,D
4.7018,0.44414,1.0,0.0,0.0,D
