Hint,y0,Sparsity,Size,Topography,Classification
inf,0.5231,0,0.5024,0.65573,S
inf,0.8576,0,0.7904,0.72758,S
inf,0.67653,0,0.626,0.22504000000000002,S
inf,1.0618,0,1.0,0.0,NS
inf,0.56085,0,0.5324,0.5403399999999999,S
inf,0.8743,0,0.8976,0.0,S
inf,0.62163,0,0.5736,0.4494,S
inf,1.1771,0,1.0,0.0,NS
inf,0.42362,0,0.4052,0.6707,S
inf,1.0679,0,1.0,0.0,NS
inf,0.87408,0,0.9548,0.0,NS
inf,0.8954200000000001,0,1.0,0.0,NS
inf,0.90265,0,0.9,0.0,
inf,0.9131600000000001,0,1.0,0.0,NS
inf,0.63557,0,0.5992,0.6985100000000001,S
inf,0.5029100000000001,0,0.4792,0.40105999999999997,S
inf,1.0538,0,1.0,0.0,NS
inf,0.69309,0,0.6679999999999999,0.71185,S
inf,1.1425,0,1.0,0.0,NS
inf,1.1664,0,1.0,0.0,NS
inf,1.0648,0,1.0,0.0,NS
inf,1.0137,0,1.0,0.0,NS
inf,0.5112899999999999,0,0.4904,0.7531899999999999,S
inf,0.67372,0,0.612,0.75079,S
inf,0.81563,0,0.78,0.7107899999999999,S
inf,0.5373399999999999,0,0.5412,0.5836899999999999,S
inf,1.1597,0,1.0,0.0,NS
inf,0.8885299999999999,0,0.8328,0.02283,S
inf,1.0898,0,1.0,0.0,NS
inf,0.5874,0,0.5404,0.43423999999999996,S
inf,1.1037,0,1.0,0.0,NS
inf,0.44093000000000004,0,0.4376,0.88518,S
inf,1.1743,0,1.0,0.0,NS
inf,1.0176,0,1.0,0.0,NS
inf,0.53528,0,0.5076,0.82014,S
inf,0.45048999999999995,0,0.4432,0.47031000000000006,S
inf,0.54191,0,0.504,0.46513000000000004,S
inf,0.41117,0,0.3972,0.8430700000000001,S
inf,1.1175,0,1.0,0.0,NS
inf,0.41276,0,0.3888,0.84739,S
inf,0.9905799999999999,0,1.0,0.0,NS
inf,0.41636999999999996,0,0.3988,0.63194,S
inf,1.1322,0,1.0,0.0,NS
inf,0.58616,0,0.5516,0.82005,S
inf,0.93663,0,1.0,0.0,NS
inf,0.53825,0,0.5464,0.94331,S
inf,0.47363999999999995,0,0.452,0.88815,S
inf,0.90705,0,1.0,0.0,NS
inf,1.1974,0,1.0,0.0,NS
inf,0.41784,0,0.41,0.61765,S
inf,0.95996,0,1.0,0.0,NS
inf,1.1145,0,1.0,0.0,NS
inf,0.44556,0,0.4256,0.94763,S
inf,0.63468,0,0.5992,0.68019,S
inf,0.58025,0,0.5479999999999999,0.9482,S
inf,0.59214,0,0.5820000000000001,0.75041,S
inf,1.052,0,1.0,0.0,NS
inf,0.8122,0,0.8448,0.63885,S
inf,0.42011000000000004,0,0.4056,0.8140000000000001,S
inf,0.73163,0,0.6956,0.87261,S
inf,0.5986899999999999,0,0.5508,0.74312,S
inf,0.46971999999999997,0,0.4436,0.95568,S
inf,0.93566,0,1.0,0.0,NS
inf,0.61206,0,0.5864,0.67683,S
