index,Hint,theta_u,Sparsity,Size,Topography,Classification
675,4.223,0.36357,0,1.0,0.0,NS
676,2.0112,0.31055,0,1.0,0.0,NS
677,2.0962,0.43761000000000005,0,0.3568,0.8426899999999999,S
679,2.3176,0.36628,0,0.6564,0.79588,S
680,2.2002,0.42326,0,0.4004,0.66676,S
682,2.9682,0.57125,0,0.2272,0.9452299999999999,S
683,2.9738,0.37696999999999997,0,0.99,0.030312000000000002,NS
684,2.96,0.54664,0,0.2684,0.75242,S
685,3.9042,0.47594,0,0.4352,0.4917,S
686,2.1590000000000003,0.44709,0,0.3428,0.8865200000000001,S
689,4.0094,0.31101999999999996,0,1.0,0.0,NS
690,2.5004,0.33529000000000003,0,1.0,0.0,NS
691,2.529,0.5344,0,0.2496,0.9664299999999999,S
692,3.1646,0.51939,0,0.3196,0.9647,S
693,2.8609,0.35083000000000003,0,1.0,0.0,NS
694,3.2219,0.6925899999999999,0,0.08,0.36729,S
695,3.3799,0.67251,0,0.12,0.8262799999999999,S
696,3.3467,0.66901,0,0.1212,0.29746,S
697,3.4551,0.67637,0,0.12,0.32249,S
698,3.4268,0.6786399999999999,0,0.1152,0.63952,S
699,3.0795,0.66818,0,0.102,0.4871,S
700,2.4269,0.67489,0,0.0292,0.29659,S
701,2.4218,0.66708,0,0.04,0.9213399999999999,S
702,2.5788,0.65381,0,0.08,0.4001,S
703,2.1747,0.66814,0,0.02,0.54667,S
704,2.5289,0.67543,0,0.0404,0.58811,S
705,2.5443,0.69038,0,0.02,0.49928,S
706,2.8128,0.60115,0,0.18,0.55223,S
707,2.1049,0.6571100000000001,0,0.02,0.94168,S
708,2.1028,0.64977,0,0.02,0.8386600000000001,S
709,2.1132,0.61969,0,0.06,0.34647,S
710,3.24,0.65647,0,0.1308,0.8559200000000001,S
711,2.9338,0.65327,0,0.12,0.9322799999999999,S
712,2.4463,0.67565,0,0.0336,0.8546799999999999,S
713,2.8891,0.6594,0,0.1,0.51357,S
714,2.9337,0.67115,0,0.0844,0.57544,S
715,2.6534,0.69125,0,0.0348,0.72345,S
716,2.9725,0.67145,0,0.092,0.66619,S
717,2.5139,0.67579,0,0.04,0.69055,S
718,3.24,0.65647,0,0.1308,0.8559200000000001,S
719,2.9338,0.65327,0,0.12,0.9322799999999999,S
